Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
PPLI,People Incorporated,38.62,48.32,20.1%,41.95,57.01,41.95,23.59,7.9%,0.57,—,8.2%,17.9%,8.7,SELLING,$-279K,0,1,🔴 0/4,↑0 ↓0,$2.88B,Technology Services,NASDAQ
NOG,"Northern Oil and Gas, Inc.",26.88,31.17,13.8%,27.85,21.56,27.85,,3.5%,1.44,—,-22.1%,24.2%,9.4,BUYING,$+500K,1,0,✅ 3/4,↑0 ↓0,$2.86B,Energy Minerals,NYSE
FUL,H.B. Fuller Company,51.12,68.63,25.5%,52.78,60.36,52.78,35.58,3.1%,1.32,—,9.4%,7.7%,4.8,SELLING,$-232K,2,1,✅ 4/4,↑0 ↓0,$2.75B,Process Industries,NYSE
CALY,Callaway Golf Company,15.25,20.28,24.8%,15.74,17.88,15.74,12.96,3.1%,1.26,—,3.0%,3.9%,2.8,SELLING,$-3.5M,0,3,✅ 4/4,↑0 ↓0,$2.72B,Consumer Durables,NYSE
MAN,ManpowerGroup Inc.,57.91,63.88,9.3%,64.74,63.44,64.74,48.85,10.5%,1.28,—,5.1%,14.0%,5.3,—,—,0,0,✅ 4/4,↑0 ↓0,$2.69B,Commercial Services,NYSE
COTY,Coty Inc. Class A,2.73,4.56,40.1%,11.45,7.51,11.45,,76.2%,0.80,—,-18.5%,12.2%,5.5,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$2.40B,Consumer Non-Durables,NYSE
PBH,Prestige Consumer Healthcare Inc,48.23,71.07,32.1%,50.69,56.16,50.69,,4.9%,1.19,—,9.1%,11.7%,8.5,SELLING,$-120K,0,4,🔴 1/4,—,$2.28B,Health Technology,NYSE
ARR,"ARMOUR Residential REIT, Inc.",15.54,19.31,19.5%,22.87,18.03,22.87,,32.1%,0.82,—,20.3%,0.0%,—,SELLING,$-564K,0,1,🔴 1/4,—,$2.20B,Finance,NYSE
UAA,"Under Armour, Inc. Class A",5.12,8.15,37.2%,18.76,11.65,18.76,,72.7%,1.54,—,-29.8%,37.0%,6.1,BUYING,$+6.0M,2,0,✅ 3/4,↑0 ↓0,$2.17B,Consumer Non-Durables,NYSE
XIFR,"XPLR Infrastructure, LP",11.26,13.25,15.0%,31.10,35.92,31.10,,63.8%,0.33,—,2.1%,5.2%,6.3,—,—,0,0,✅ 3/4,↑0 ↓0,$2.17B,Utilities,NYSE
ALGT,Allegiant Travel Company,78.59,123.63,36.4%,121.54,111.04,121.54,,35.3%,1.21,—,1.8%,8.8%,3.8,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$2.15B,Transportation,NASDAQ
MPT,"Medical Properties Trust, Inc.",3.60,6.47,44.4%,7.57,8.14,7.57,,52.5%,0.48,—,-0.7%,33.6%,18.6,BUYING,$+10K,1,0,✅ 3/4,↑0 ↓0,$2.15B,Finance,NYSE
VET,Vermilion Energy Inc.,13.49,14.82,9.0%,15.82,10.56,15.82,,14.7%,1.36,—,-18.5%,—,7.7,NEUTRAL,—,0,0,🔴 1/4,—,$2.06B,Energy Minerals,NYSE
PEB,Pebblebrook Hotel Trust,17.96,19.93,9.9%,21.71,16.64,21.71,,17.3%,0.84,—,-1.8%,22.2%,8.8,BUYING,$+971K,3,1,✅ 3/4,↑0 ↓0,$2.03B,Finance,NYSE
